Q1_A,Q1_B1
Strongly Opposed,Casinos kill the surrounding city
Somewhat in Favour,It gives people a place to go and socialize 24 hours a day.
Strongly Opposed,drugs
Strongly Opposed,Negative socio-economic impact on the community
Strongly Opposed,Costs related to dealing with future societal issues would likely outweigh any short term financial benefits
Strongly Opposed,negative consequenced
Strongly Opposed,"The ""new employment"" promised are really taking employees away from the other businesses in the area / It will reduce revenue from the local entertainment (cinemas/CNE/theatres) & hotels"
Strongly Opposed,Personal witness of many families deeply broken directly by gambling
Strongly Opposed,"Cause addiction, crime, and public health damage"
Strongly Opposed,Contradicts many values that I hold and my belief in what Toronto is.
Strongly Opposed,Casinos bring increase in crime.
Somewhat Opposed,Uncertain of how it serves the general population
Strongly Opposed,"There are enough Casinos, all readily and easily available, in Ontario already."
Strongly Opposed,Gambling is bad
Strongly Opposed,losing the EX!!!!
Strongly Opposed,It will be to the detriment of other local entertainment establishments by drawing away visitors and dollars.
Strongly Opposed,encourages addiction which ruins individuals and families
Strongly Opposed,Exhibition place is not an appropriate venue
Strongly Opposed,"Casinos are places where the majority of customers loose a lot of money, while a very few owners or backers, who won't be living in Toronto make huge sums of money."
Strongly Opposed,Traffic is out of control already in the downtown core. EP Taylor built his race track outside of Toronto
Strongly Opposed,addiction
Strongly Opposed,"problems with gambling - effects on families, income, crime, cultural activities that have real value"
Strongly Opposed,bleeds money
Somewhat Opposed,poor entertainment choice compared to what Toronto already has
Strongly Opposed,"I live in an area near proposed site, fear of tax increases"
Somewhat in Favour,Boost to local economy via tourism
Strongly Opposed,
Strongly Opposed,Urban planning
Strongly Opposed,no aligned with family values
Strongly Opposed,It is a health hazard for a small percentage of gamblers and their families.
Strongly Opposed,I would rather see the money spent on projects that suit all Torontonians
Strongly Opposed,"gambling is a disease, an addiction. putting the temptation under an addict's nose it terrible."
Somewhat in Favour,Jobs
Strongly in Favour,Create Jobs
Strongly Opposed,"Sucks the life out of a community, no surrounding business can compete, ie restaurants, bars"
Strongly Opposed,I regard gambling as one of the most serious addictions for people
Strongly Opposed,"damage to individuals and community through gambling addiction: financial, mental health problems, family disruption"
Strongly Opposed,Bad for business in my community.
Strongly Opposed,Gambling addiction
Neutral or Mixed Feelings,
Strongly Opposed,"This will not enhance Toronto, and could destroy it..studies have shown that Casinos actually don't bring money into the City but actually take it out of the City."
Strongly Opposed,destoys peaople's lives
Neutral or Mixed Feelings,Tax revenue could go towards bringing transit out of the 10th century
Strongly Opposed,Increased need for addiction counselling and hazard to the community from addiction
Strongly Opposed,Our downtown/waterfront is ugly and inhospitable.  Another huge monolithic building with parking lots just adds to this.
Strongly Opposed,Gambling can become a addiction that can ruin people and their families financially and emotionally.
Strongly Opposed,only supports short term jobs
Strongly Opposed,it's a terrible use of our waterfront space
Strongly Opposed,"increase numbers of problem gamblers, spouse, family members affected"
Strongly Opposed,Detrimental to the community
Strongly Opposed,Traffic
Strongly Opposed,"A casino is not needed as it brings ""lousy"" jobs, and at the same time it brings social problems"
Neutral or Mixed Feelings,on the one hand its a revenue source and will attract more tourism
Strongly Opposed,
Strongly Opposed,Casino brings with them social problems to people that cannot stop playing
Strongly Opposed,Not my vision for Toronto as a world class city
Somewhat Opposed,Location concerns
Somewhat Opposed,
Strongly Opposed,"35 % of people who will come, will be problem gamblers. I do not support such a way to make revenue."
Strongly Opposed,The result in New Jersey
Strongly Opposed,"Every 10-15 years or so, the issue of a casino in Toronto returns to the council table. Last times, it was always a definite NO."
Strongly Opposed,Social impact on the community
Strongly Opposed,lower quality of life for residents
Strongly Opposed,influx of criminals.
Strongly Opposed,gambling causes social problems
Strongly Opposed,We don't need a casino
Strongly Opposed,I work at a smaller casino and if the Toronto one goes in ours will probably have to close and I'll be out of a job.
Strongly Opposed,gambling is addictive
Strongly Opposed,"I believe that gambling is addictive and can ruin a person's life. I believe even when someone is not addicted, that it is a way of stealing money from people under the guise of a fair play ""game""."
Strongly Opposed,Social problems that arise with casinos.
Strongly Opposed,Revenue generation is greatly exaggerated.
Strongly in Favour,Revenue for city
Strongly Opposed,Increased crime
Strongly Opposed,
Strongly Opposed,"social costs - addiction, crime"
Strongly Opposed,not a fit for the downtown community
Strongly Opposed,congestion of roads
Strongly Opposed,Toronto is already congested in terms of traffic and business activity
Strongly Opposed,"Casino has no place in the city, which is over crowded and does not need increases in structures or health care burdens dealing with addicted gamblers."
Strongly Opposed,Negative impact on problem gambling
Strongly Opposed,Net employment will not increase - local businesses will be threatened
Strongly Opposed,[weblink]
Strongly Opposed,Not in character with my city
Somewhat Opposed,Don't want CNE moved
Strongly Opposed,"I have family members who are problem gamblers. If a casino was so easily accessible, it would be trouble."
Strongly Opposed,Negative net financial impact on our community
Strongly Opposed,"Other than monte carlo, i don't know anywhere that does gambling with dignity."
Strongly Opposed,Don't like the effect it would have on the downtown area
Strongly Opposed,
Strongly Opposed,Won't being in the promised money
Strongly Opposed,"Gambling is morally wrong, encourging gambling through a form of Casino will cause servious social problems"
Strongly Opposed,The city does not need more traffic
Strongly Opposed,Encourages those who have obsessions to gambling
Strongly Opposed,"Strongly opposed to governments encouraging people to gamble, a percentage of whom will be addicted and who will ruin their lives as a result. I don't want my city government to benefit from revenues from such a venue!!"
Strongly Opposed,It would introduce a new level of corruption and a potential platform for right wing politicians in the city
Strongly in Favour,job creation
Strongly Opposed,Gambling is a degrading activity and gets some people into financial problems.
Strongly Opposed,Crime
Strongly in Favour,fun
Strongly Opposed,any financial gain is likely to be short-term
Strongly Opposed,Parking and roads are not up to it
Strongly Opposed,Economic benefit does not mitigate negative social impact.
Somewhat Opposed,I like the CNE grounds just the way they are.
Strongly Opposed,gambling addictions will increase
Strongly Opposed,Gambling addiction
Strongly Opposed,existing businesses will suffer
Strongly Opposed,Negative impact on compulsive gamblers and families
Strongly Opposed,Well documented problems associated with gambling
Strongly Opposed,More congestion
Strongly Opposed,Increase gambling addiction
Strongly Opposed,raising gambling addictions
Strongly Opposed,It ruined three siblings of my family
Strongly Opposed,job loss
Strongly Opposed,
Strongly Opposed,not appropriate so close to residential areas
Strongly Opposed,The waterfront should be for something beautiful and I don't feel this is what a casino will bring.
Strongly Opposed,A casino will not attract the kind of money people think it will...every casio built is less profitable than the last.
Strongly Opposed,"Downtown Toronto is no place for a casino, it will destroy the cultural life all around it"
Strongly Opposed,I think it is not fair that if a casino is built at the ex a lot of family events will no longer be available to Torontonians
Strongly Opposed,Corruption
Strongly Opposed,
Strongly Opposed,Don't think it's necessary for revenue - be more creative
Strongly Opposed,Do not consider it a viable industry
Strongly Opposed,"Sleezy, attracts criminals. Not a healthy activity."
Strongly Opposed,Gambling is an addictive and unhealthy behaviour with evidence supporting this.
Strongly Opposed,Blocks skyline
Strongly Opposed,Feel it would be bad for local businesses
Strongly Opposed,I want Toronto where I live in peace & healthy City
Somewhat in Favour,I think it would be a great way to bring money to the city's bank account. (Hopefully it will be used wisely)
Strongly Opposed,I think it will lesson the image of Toronto globally
Somewhat Opposed,Too close in the crowded downtown area
Neutral or Mixed Feelings,Whether I am in favour depends entirely on location and execution of the casino
Strongly in Favour,Tourism
Strongly Opposed,Ruin the city - which is residential mixed with business
Strongly Opposed,It will cause addictions to gambling
Strongly Opposed,
Strongly Opposed,Gambling should not be encouraged.
Strongly Opposed,"Our City is a wonderful place for tourists, families, etc ... we are considered World Class through our Arts"
Somewhat Opposed,Tacky and annoying
Strongly Opposed,Promotes addiction
Strongly Opposed,Casinos attract crime and encourage gambling addiction which has destroyed many families.
Strongly Opposed,Too close to residential neighbourhoods
Strongly Opposed,Don't need it
Strongly in Favour,Income source for the city.
Strongly Opposed,social impact of gaming
Strongly Opposed,I don't think gambling with tax payers money is an appropriate way for cities to gain income
Strongly Opposed,Further crime being transported to the downtown core
Strongly Opposed,"loss of jobs and business for small, independent business owners"
Strongly Opposed,increase in crime-
Strongly Opposed,It only makes the poor poorer
Strongly Opposed,Negative growth
Strongly Opposed,oppose gambling
Strongly Opposed,There is no need for a casino in Toronto; there are plenty of gambling sites elsewhere
Somewhat Opposed,health problems with gambling addiction
Strongly Opposed,It will change the character of the area of the city where it is placed.  The downtowebn core is one of the worst places.
Strongly Opposed,Culture
Strongly Opposed,Infrastructure cost
Strongly Opposed,I DON'T LIKE CASINOS IN GENERAL AS THEY TAKE ADVANTAGE OF PEOPLE WHO MAKE POOR DECISIONS
Strongly Opposed,
Strongly in Favour,revenue for the city
Strongly Opposed,
Strongly Opposed,gambling = addiction = social problems
Strongly Opposed,gambling is an addiction and government should not be encouraging it
Strongly Opposed,We have enough entertainment options already
Somewhat in Favour,
Somewhat Opposed,"City has more important things to concern itself with (Gardiner, infrastructure, transit, etc)"
Strongly Opposed,Social impacts of gambling in the city
Strongly Opposed,negative impact on residents
Strongly Opposed,
Strongly Opposed,Enough casinos already within driving distance of Toronto
Strongly Opposed,I don't feel there is any long term financial gain for the city.
Strongly Opposed,I believe it will hurt local business
Strongly Opposed,nothing good at all
Strongly Opposed,Casino will increase gambling addiction risk for many people
Strongly in Favour,jobs
Strongly Opposed,excess traffic with crumbling infrastructure
Strongly Opposed,gambling is an inherently bad thing
Strongly Opposed,The economics of a casino depend on problem gamblers. They bring up the average amount spent per patron to make a casino feasible.
Strongly Opposed,Gambling addiction
Strongly Opposed,impact on vulnerable people - those caught in gambling/alcohol addictions
Strongly Opposed,"will unsettle delicate ecoloy of the downtown core (business, entertainment, housing) already present"
Strongly Opposed,Job creation is a lie.  Windsor and Niagara Falls are testimony to that.
Strongly Opposed,"Casinos are bad for the economy, destroying local businesses"
Strongly Opposed,
Strongly Opposed,addictions
Strongly Opposed,There are better ways to spend taxpayer money - other types of unique attractions that better reflect local culture.
Neutral or Mixed Feelings,Addiction
Strongly Opposed,Transit overload
Strongly Opposed,increase in crime and gambling addiction will cause policing and social problems downtown.
Strongly Opposed,Social cost of casinos is greater than the economic benefits.
Strongly Opposed,Quality of life for downtown residents
Strongly Opposed,A casino would have a negative effect on the surrounding neighbourhood.
Strongly Opposed,Social issues
Strongly Opposed,
Strongly Opposed,Downtown location wrong.
Strongly Opposed,Gambling Addiction for many
Strongly Opposed,"The negative impact on families due to compulsive gambling (any repetitive gambler can become addicted).  Family income is put at risk, marital breakdowns and spousal abuse can result."
Strongly Opposed,against gambling of any kind
Strongly Opposed,
Strongly Opposed,"A casine does nothing to enhance Toronto's reputation and success as a global cultural and/or business ""go-to"" location."
Strongly Opposed,Impact to existing business
Strongly Opposed,downtown already too congested
Strongly Opposed,Will create a bad environment for the neighbourhood and the city
Strongly Opposed,I live in downtown toronto and i support intelligent urban planning and spaces for intelligent communities. Casino 'gaming' is not  community building
Strongly Opposed,Bad for other businesses in Toronto
Strongly Opposed,more trouble than it's worth
Strongly Opposed,Social effects of gambling
Strongly Opposed,Casino ONLY serves itself - is very damaging to businesses in the surrounding area
Strongly Opposed,Does not support my view of the city.
Strongly Opposed,Negative impact on local business
Strongly Opposed,Not a positive planning decision for our city
Strongly Opposed,"Sustainability -- this is not the style and type of development which I feel the City needs, which will make Toronto even more of a world-class city, and which will serve the needs of Torontonians."
Somewhat in Favour,"could be a plus, to bring revenue"
Somewhat Opposed,no infrastructure to support more people
Strongly Opposed,None of the stated benefits by the pro side are realistic.
Strongly Opposed,Sends wrong message about Toronto
Strongly Opposed,encourages organized crime
Strongly Opposed,crime
Strongly Opposed,negative health and social problems for gamblers and families.
Somewhat in Favour,economic activity
Strongly Opposed,"If I wanted to live in Las Vegas, I'd move there!"
Strongly Opposed,I don't trust the industry.
Strongly Opposed,"There is ABSOLUTELY NO proof that casinos bring ANY economic benefits to a community. On the contrary, studies show that casinos have a negative impact on established businesses ie restaurants and theatres."
Strongly Opposed,Casino produce nothing and suck potential revenue from other entertainment.
Strongly Opposed,
Strongly Opposed,ruins the downtown core
Strongly Opposed,"increased traffic, parking nightmare"
Strongly Opposed,"Not the panacea, timing is wrong: average household debt in Canada is 164%>"
Strongly Opposed,
Strongly Opposed,It's not a good image for the city
Somewhat Opposed,social costs of gambling addiction
Strongly Opposed,Gambling hurts people
Strongly Opposed,Land is needed to create a Central Park for Toronto.
Strongly Opposed,It will create more traffic problems and we have more than enough at the moment
Strongly Opposed,Promotes gambling and smoking - not in sync with a global city image
Strongly in Favour,Boost to the coffers of City Hall
Strongly Opposed,create more addictions and enable those who already deal with a gambling addiction
Strongly Opposed,The city can have income with cultural development such as the music industry (Austin North)
Strongly Opposed,Local residents will get into gambling problems.
Somewhat Opposed,Loss of slots @ racetracks
Strongly Opposed,
Strongly Opposed,
Strongly Opposed,Taking Toronto in the wrong direction.
Strongly in Favour,Jobs
Strongly Opposed,Already have one:  Woodbine.
Strongly Opposed,We have lots of places to gamble already.
Strongly Opposed,The negative impacts of having a casino in Toronto will out weigh any positive impacts.
Strongly Opposed,Toronto does not need this for economic activity and jobs. We have many other resources and options.
Strongly Opposed,Casinos are designed to take money from the poor.
Neutral or Mixed Feelings,traffic issues
Strongly Opposed,Will worsen friends addiction to gambling if too available to downtown
Strongly Opposed,traffic
Strongly in Favour,Increased revenues for the city
Strongly Opposed,"Casinos siphon money out of communities. In Monte Carlo, residents are not allowed to gamble. There's something to be learned from that."
Strongly in Favour,Brings more tourism to the city of Toronto
Strongly Opposed,Increase in crime
Strongly in Favour,lower taxes
Strongly in Favour,Opportunity for new jobs
Strongly in Favour,More revenue for the City
Strongly Opposed,The ancillary costs to society in the GTA outweigh its benefits
Strongly Opposed,Negative social welfare impact.
Strongly Opposed,"The vast majority of gamblers in casinos do not appear to be having fun, quite the contrary in fact.  Toronto can do much better with less social cost."
Strongly Opposed,problem gambling will increase leading to associated social costs for the city
Strongly Opposed,Bad for neighborhoods
Strongly Opposed,Does not help Toronto.
Strongly Opposed,
Strongly Opposed,Doesn't develop community in area
Strongly Opposed,Don't want to turn Toronto into Las Vegas
Strongly Opposed,
Strongly Opposed,
Strongly Opposed,"Gambling promotes many social ills: addiction, violence, etc."
Strongly Opposed,There are two major casinos nearby - Niagara and Orillia - its feeds the niche
Strongly in Favour,Economic Investment
Strongly Opposed,gambling is not a tourist draw that is necessary in Canada's largest city
Strongly Opposed,Casinos make our city seedy and attract problem gamblers
Strongly Opposed,it's a regressive tax on the iunnumerate poor
Strongly Opposed,Promotes gambling addiction
Strongly Opposed,Increase already horrendous traffic no matter what provisions are made
Strongly Opposed,Addicted gamblers
Strongly Opposed,Gmbling leads to  addiction. Casino creates mental desiase
Strongly Opposed,Cash grab by greedy uncaring corporate entities in bed with a short sighted council leadership
Strongly Opposed,Gambling is addictive and should not be relied on for stable funding.
Strongly Opposed,not the right use of land
Strongly Opposed,gambling addiction
Strongly Opposed,
Strongly Opposed,Increased crime
Strongly Opposed,A Casino will kill local jobs
Somewhat in Favour,Tourism
Strongly Opposed,"A casino represents a long-term financial draw on the city, which is a detriment to all residents."
Strongly Opposed,Casinos by their very nature do not need to be in any particular locale like Canada's major City - they just need traffic
Strongly Opposed,
Strongly Opposed,I think casinos are the worst way to raise money. They feed on the addicted.
Strongly Opposed,Casinos do not support tourism in the city.  They are designed to keep patrons in the casino not out in the city.
Strongly Opposed,"There are casinos close enough if people want to gamble (Casino Rama, Niagara Falls, etc.)"
Strongly Opposed,Impoverishes families
Strongly Opposed,Does not improve the cultural landscape of Toronto
Strongly in Favour,More jobs
Strongly Opposed,Casino rob from the poor
Strongly Opposed,There are many other ways to generate revenue for city of Toronto without so much negative impact
Strongly Opposed,few profit
Strongly Opposed,Casinos kill local business
Strongly Opposed,
Strongly Opposed,Not good for the community
Strongly Opposed,Crime
Strongly Opposed,New casino will lead to more at risk gamblers and more addicted gamblers
Strongly Opposed,
Somewhat Opposed,Worried about disrupting neighbourhoods / increasing crime
Strongly Opposed,Traffic
Strongly Opposed,it is of dubious value to society
Strongly Opposed,
Strongly Opposed,"civic sanctioned gambling aids and abets a serious, acknowledged addiction"
Strongly Opposed,Will cause harm to any neighbourhood it is built in
Strongly Opposed,"We need more sustainable housing, not another tax on the poor."
Strongly Opposed,It would be detrimental to the community by encouraging addictive behaviour
Strongly Opposed,I think it would reduce the charm and dignity of the city
Strongly Opposed,Mental and financial health of people who have gambling problems
Strongly Opposed,takes money from other forms of entertainment
Strongly Opposed,Gambling is horrible.
Strongly in Favour,money
Strongly Opposed,Reflects poorly on Toronto's image as a cultural hub.
Somewhat in Favour,"It will happen closeby (i.e. misissauga,etc;) if not Toronto"
Strongly Opposed,Culturally devastating
Strongly Opposed,Grinols and Mustard (2004) found that crime rates increase dramatically after the introduction of a casino into an area
Strongly Opposed,Increased crime
Strongly Opposed,Negative impact on community and local residents
Strongly in Favour,Major urban centres have casinos.  No reason to keep losing this business to locations outside of Toronto.
Strongly Opposed,Toronto's economy is diverse and vibrant; would not improve with a casino.
Strongly Opposed,hurting local businesses
Strongly Opposed,"Poor integration into the surrounding community, especially given the parking requirements."
Somewhat Opposed,
Strongly Opposed,It is a tax on the poor
Strongly Opposed,
Strongly Opposed,"Casinos cause terrible social problems such as addiction, mental health issues, and debt"
Strongly Opposed,Against gambling to raise funds
Somewhat Opposed,I've been to Windsor and the casino is not well integrated into the community
Neutral or Mixed Feelings,It will enhance the travel and tourism industry
Somewhat Opposed,This should not be downtown
Strongly Opposed,"I live close by and the traffic would be horrific... the streets here and not designed for it, we see that every time there is a CNE event.. this would make it that way all the time"
Somewhat Opposed,"I feel a casino will cause more problems than benefits, especially in the downtown area, for the city and for individuals. th"
Neutral or Mixed Feelings,"I can go to Niagara, Woodbine, Rama, Seneca (USA) whenever I want to visit a casino"
Strongly Opposed,"Results in more harm than good.  Addiction is a disease. Gambling culture associated with crime, prostitution, drug abuse"
Strongly in Favour,Tax dollars
Strongly Opposed,"The promised revenue generation is at best, questionable. Toronto would not see the amount promised."
Strongly Opposed,Casino will bring in crimes even thought there is revenue.
Strongly Opposed,My wife's cousin lost her family marriage and home due to her gambling
Strongly Opposed,"attracts troubled visitors, leading to need for greater police presence in area (and related costs) and traffic issues"
Strongly Opposed,This is not the tpye of thing I want to see in Toronto
Strongly in Favour,Economy
Strongly Opposed,Negative economic impact to local establishments.
Strongly Opposed,Moral issues
Strongly in Favour,"Economy (jobs, etc.)"
Strongly Opposed,Gambling addiction
Strongly Opposed,Culturally devastating
Strongly Opposed,"It is going to encourage gambling in city, Casino should be outside the city where we work, live like in Niagara."
Strongly Opposed,
Strongly Opposed,Social impact on the most vulnerable in our population
Strongly in Favour,economically sound
Strongly Opposed,"It won't bring in tourists, it'll just stop the the gamblers from going to Rama and Niagara Falls"
Strongly Opposed,crime
Strongly Opposed,"the negative outcomes (e.g., mental health/social issues) outweigh the benefits"
Strongly Opposed,a casino will ruin local business
Strongly Opposed,casinos attract a bad element of society
Strongly Opposed,OLG decision to kill Ontario horse racing industry
Neutral or Mixed Feelings,
Strongly Opposed,It would crowd the downtown core
Strongly Opposed,"Have experienced first hand the destruction of a friend who became a gambling addict. She lost her condo, car, job, and is now on OW. The social costs outweigh any possible benefits."
Strongly Opposed,Gambling can become a bad habit which may destroy people's finance well being.
Strongly Opposed,"There's enough in Toronto to bring tourism, we don't need a casino"
Strongly Opposed,it will take money away from local small businesses
Neutral or Mixed Feelings,depends where the casino is located and what is displaces
Somewhat Opposed,fear its implementation will be mismanaged
Strongly Opposed,"A lot of people will loose their mind, least important money"
Strongly Opposed,social issues
Strongly Opposed,"Gambling is a serious addiction that I don't want supported by our city, nor easily available to addicts."
Strongly Opposed,It pulls revue for m other attractions
Neutral or Mixed Feelings,
Strongly Opposed,More crime
Strongly Opposed,Bleed $$$$ from other businesses
Strongly Opposed,no net benefit
Strongly Opposed,"I think we can do more with the ON Place site than a casino - education, housing, waterfront development"
Strongly Opposed,"Sparks and encourages gambling addiction, particularly among disadvantaged local residents"
Strongly Opposed,Takes scarce land away from projects that are directly supportive of good community.
Strongly Opposed,Severing the Toronto community from the City's waterfront
Strongly Opposed,Casinos do not create longterm benefits to the community.
Strongly in Favour,"I support it if it provides good union jobs, revenue for the city and community benefits, such as a community centre, child care options, etc."
Strongly Opposed,We should not be promoting gambling as a recreational activity
Somewhat Opposed,
Strongly Opposed,Contributing to problem gambling
Strongly Opposed,City will likely incur costs associated with the health effects outlined in the report prepared by the City’s Medical Officer of Health
Strongly Opposed,Don't like gambling
Strongly Opposed,I feel that is will diminish the character of the down town core
Strongly Opposed,makes money off of the weaknesses of local community members
Strongly Opposed,"Gambling can become an addiction, destroying the lives of individuals and families."
Strongly Opposed,taking exsisting jobs and businesses away
Strongly Opposed,I live downtown
Strongly Opposed,
Strongly Opposed,Negative impact on local business near the casino
Strongly Opposed,.
Strongly Opposed,"congestion of downtown, i.e. buses"
Strongly Opposed,"The main benefits usually attributed to casinos, like they attract top entertainment/restaurants/etc., are areas where Toronto is already strong.  A casino is not necessary."
Strongly Opposed,TOO MUCH CONGESTION IN DOWNTOWN TORONTO
Strongly Opposed,elimination of more socially beneficial options for community development
Strongly Opposed,We don't need it.
Strongly Opposed,A casino will lead to more gambling addiction and crime
Strongly Opposed,"Toronto is a diverse, creative city. . . for the arts!  The Casino would drain the vibrancy from the city."
Strongly in Favour,Good for the economy
Strongly Opposed,Casinos do not belong in family-oriented communities
Strongly Opposed,"Increased traffic, litter and further development (seemingly without an ""overall plan"") in the downtown core"
Strongly Opposed,people gambling away ntheir mortgage money
Strongly Opposed,"The negative social impact of Gambling on individuals, families and communities."
Strongly Opposed,lack of infrastructure to support influx of people
Strongly Opposed,"gambling preys on people and results in acute and chronic social, economic and health costs, both for individuals and broader society; it does not build but rather compromises civil society.."
Somewhat Opposed,the location of the casino is not ideal
Strongly in Favour,This will bring in a lot of money for Toronto.
Strongly in Favour,A new casino will create jobs
Strongly Opposed,it will take away jobs and business from existing business
Strongly Opposed,there are more desireable forms of entertainment that could be built that would not suck money out of the population
Strongly in Favour,beneficial for the city
Strongly Opposed,
Strongly Opposed,It brings in crime
Strongly in Favour,"Bringing Billions of dollars to the city, more tourism"
Neutral or Mixed Feelings,"I'm not opposed to a casino, if it is the right location. Woodbine is the only location I would support. Not downtown."
Strongly Opposed,Will change Toronto for the worse
Strongly Opposed,I saw what a casino did to Windsor
Strongly Opposed,Ontario's gambling addicts constitute a huge social deficit
Strongly Opposed,Gambling problems
Strongly Opposed,wrong use of land
Strongly Opposed,
Strongly Opposed,Moral hazzard
Strongly Opposed,We have casinos within easy travel distance of Toronto in areas that need them for their local economies
Strongly Opposed,It'll attract crime
Somewhat in Favour,Additional source of revenue for the City.
Strongly Opposed,Totally unsuitable for the city core
Strongly Opposed,There should be more money into helping the helpless
Strongly Opposed,negative social impact
Strongly Opposed,attracts unwanted traffic
Strongly Opposed,"Gambling is bad for society, it brings crimes."
Somewhat in Favour,
Strongly Opposed,Destruction of community.
Strongly Opposed,Gambling always has a negative affect on the quality of society
Strongly Opposed,Casinos don't reinvest in local communities. FACT: Most of the profits end up in the pockets of outside investors.
Strongly Opposed,The social costs to our society of gambling addiction far outweigh all potential financial benefits
Strongly Opposed,Misuse of property - another huge congestion problem for Toronto's lake front
Neutral or Mixed Feelings,Pro - opportunity to increase tourism and conventions
Strongly Opposed,"I think Casinos attract the wrong kind of tourism to the city, and negatively affect the neighbourhood"
Strongly Opposed,"Taxes for health and education should be distributed across tax paying citizens - not taken from the poor, addicted and seniors in cash grabbing casinos."
Strongly Opposed,It's a poor use of prime downtown land.
Strongly Opposed,More family will be shattered by gambling
Strongly Opposed,it will attract the wrong visitors to the city
Strongly Opposed,They kill businesses in their vicinity
Strongly Opposed,I do not want gambling in Toronto - period.
Strongly Opposed,Gambling is an addiction
Strongly Opposed,Gambling a tax on poor aand dependant persons
Somewhat in Favour,Believe if a Casino were located at Woodbine Entertainment it would ultimately be beneficial for employment should an entertainment complex be included.  Gambling already occurs at this site and they have the expertise to deal with any issues that arise.
Strongly Opposed,A casino downtown is not family friendly.  We need to find business solutions that are for the entire family rather than catering only to adults who gamble and drink.
Strongly Opposed,I feel a casino would detract from the cultural infrastructure of Toronto. As a professional working in the culture sector I'm appauled at the lobbying that is going into casinos when our museums and public arts systems keep loosing funding.
Strongly Opposed,This will create traffic issues wherever it is built
Strongly Opposed,casino will destroy any neighbourhood it's located in
Strongly Opposed,"Encourages gambling, wasting money, increase in compulsive/problem gambling and broken families/relationships. It targets/victimizes gamblers for profit."
Strongly Opposed,We don't need a casino in Toronto. There are plenty of casino's elsewhere.
Strongly Opposed,"gambling does not produce wealth, but only redistributes money"
Strongly Opposed,it is not good for Toronto
Strongly Opposed,It causes so many social issues
Somewhat in Favour,"City of Toronto requires additional revenues to support: the repair of aging infrastructure, the expansion of public transit, and improve social programs."
Strongly Opposed,Casinos and lotteries are a tax on the vulnerable
Strongly Opposed,There seems to be a major historic connection between gambling and organized crime
Strongly Opposed,My best friend had a gambling addiction and she lost everything.
Strongly Opposed,will ruin the waterfront...not needed downtown....PARKS AND TREES PLEASE for the people.
Strongly Opposed,We have one already  WOODBINE
Strongly Opposed,I live in downtown Toronto and don't want the kind of desert that casinos create around them.
Strongly Opposed,Will create even more congestion in downtown core.
Strongly Opposed,Casino will attract those who are least affordable of losing their small income.
Strongly Opposed,Traffic Congestion
Strongly Opposed,A large-scale gambling establishment is NOT a compatible use for downtown Toronto neighbourhoods.
Strongly in Favour,more revenue for the city
Strongly Opposed,I used to live near a casino.
Strongly Opposed,Such direct access to gambling mechanisms will have a negative impact on Toronto and its denizens.
Strongly Opposed,"Gambling does bring bad influences to the society (e.g. health, moral and social issues, higher crime rates, and bad role models for others, etc.)"
Strongly Opposed,We can do better. Put some creative minds together to come up with something much more inspiring.
Strongly Opposed,increase in problem gambling - health & financial concerns and costs
Strongly Opposed,A casino will provid no net benefit to a thriving city like Toronto.
Strongly in Favour,Increase awareness of Toronto worldwide....however not in the downtown core
Strongly Opposed,It harms people's personal lives because they would lose more money than make money
Strongly in Favour,I don't want a Casino
Strongly Opposed,"Casino's are not likely to contribute to a healthy, pedestrian-friendly community"
Strongly Opposed,Not a healthy industry
Strongly Opposed,Concerns about encouragement and facilitation of gambling addiction
Strongly Opposed,will attract the wrong type of tourist
Strongly Opposed,This will increase the criminal actions
Strongly Opposed,The social costs are too high!
Strongly in Favour,Entertainment
Strongly Opposed,An unhealthy way to raise money
Strongly Opposed,Problem of Addiction to Gambling
Strongly Opposed,The same reasdons as always have been there for a Cosino being in a major city
Somewhat Opposed,crime
Somewhat Opposed,Gambling is bad for poor people.
Strongly Opposed,negative social impact
Strongly Opposed,"The three image of major casino cities are Las Vegas, Atlantic City, and Macau. None of them have any international businesses that are not associated with Gambling within their city borders. If Toronto go this route, corporations that does not want to be associated with the gambling industry would leave the city."
Strongly Opposed,"More people will be addicted to gambling. Therefore, more lives will be ruined. More burden to welfare system."
Strongly Opposed,High cost in the long term
Somewhat in Favour,Bring change to a stagnant city
Strongly Opposed,There are plenty of places that have casinos. We do not need more casinos.
Strongly Opposed,"I see the casino tied to broader conversation about Toronto's waterfront, vision, identy, the Gardiner and our future. I believe the Princess Gates at the Ex are one of the most beautiful sites in the city and a sign of a time where Toronto had great hopes for its future and a clear sense of itself as a great city.  Imagining that site filled with cars and gamblers is disheartening. We can do better."
Strongly in Favour,toronto is a word class city and this redevelopment will secure our spot on the world stage - like cities such as singapore etc
Strongly Opposed,"As a city of many other activities, it's not something we need"
Strongly Opposed,
Strongly Opposed,competition for existing business
Strongly Opposed,"create more addicted gamblers, which will in turn results in more crimes in the city"
Strongly Opposed,I'm concerned about the health impacts on those who are prone to addiction
Strongly Opposed,A casino will not provide much if any benefit to the city.
Strongly Opposed,
Strongly Opposed,It would increase crime
Strongly Opposed,why enable gambling and why promote such cheesey establishments?
Strongly Opposed,Dislike gambling
Strongly Opposed,Increased Gambling Adictions
Strongly Opposed,A casino will lead to an increase in crime -- ie: money laundering and alcohol-related crime
